,Username,Konten,Lokasi
85,sobat_sandi,"Mas Menteri @sandiuno mencoba jadi ""Tour Guide"" Di Candi Borobudur 😍👏

#sandiagauno #sandiuno #kemenparekraf #Ekonomi #kreatif #Twitter #FYP #Video #viral2023 #AlwaysWithYou FIRST JOB CURRENT JOB DREAM JOB Selasa Budaya Happy Valentine #ValentinesDay #magelang #borobudur https://t.co/VpCVzXAvpl",
86,Mat16_16,"Ada 2 org cawapres yg bs menghantar Prabowo Subianto jd Presiden RI 2024.

Bukan Ganjar/Muhaimin/AHY/Erlangga/RidwanK/AndikaP/Anak2nya Jokowi/AniesBaswedan/ErickThohir/SandiagaUno/Khofifah/....

PDIP
Gerindra
DPR RI
Fadli Zon 
detikNews
CNN Indonesia
https://t.co/zODrJaPaVK",
87,nusabalicom,"Sandiaga Tidak Pernah Minta Izin Pindah Partai https://t.co/YTgIcGpytA Dasco : Dinamika Politik yang Wajar dan Biasa

#sandiagauno #berita #politik  #bali #nusabali","Denpasar, Bali"
88,jpnncom,"#BeritaBali 
Sandiaga Uno Dorong Generasi Muda Masuk Poltekpar, Bisa Berkarier di Luar Negeri
@sandiuno 
#sandiagauno 
#politeknikpariwisata 
https://t.co/sjgQoGwsA3",Indonesia
89,fajaronline,"Heboh Utang Rp50 M Anies, Fahri Hamzah Menyindir: Perencanaan Korupsi yang Sangat Kasat Mata https://t.co/wKC2bijfzW #AniesBaswedan #FahriHamzah #PilkadaDkiJakarta #SandiagaUno","Jakarta, Indonesia"
90,fajaronline,"Demokrat Ungkit Upaya Sandi Geser Prabowo Saat Pilpres 2019, Eks Waketum Gerindra: Memang Penghianat Dia https://t.co/FIMZbwYL1M #AriefPoyuono #Pilpres2019 #PrabowoSubianto #SandiagaUno","Jakarta, Indonesia"
91,jakpost,"Sandiaga Uno has said that he will discuss with Prabowo Subianto the aspirations of the United Development Party (PPP), following Sandiaga as a potential candidate for the 2024 presidential election. #SandiagaUno #Pemilu2024

Read more: https://t.co/lbkL1YqU7M https://t.co/xlJxbyp6TD",Jakarta
92,jpnncom,"Sandiaga Uno Dorong Generasi Muda Masuk Poltekpar, Bisa Berkarier di Luar Negeri #SandiagaUno https://t.co/sjgQoGwsA3",Indonesia
93,warna_nusa,"PPP Beri 'Tawaran Mewah' ke Sandiaga Uno di Pemilu 2024, Rocky Gerung: Pemikiran Saya, Sandy Pasti....

#sandiagauno #rockygerung
https://t.co/LCZYRHNdNi",Jl. Sumatera 118-120 Jember
94,portalmediaid,"Gerindra Tegas Bantah soal Prabowo Izinkan Sandiaga Uno Pindah ke PPP

Baca Selengkapnya: https://t.co/CoTnXGjDL1

#BeritaTerkini #media #Online #news #BreakingNews #gerindra #bantah #prabowo #Sandiagauno #PPP #politik #Indonesia","Makassar, Indonesia"
95,kabar_dpr,"Dasco Pastikan Tidak Dapat Kabar Soal Sandiaga Izin Pindah ke PPP

#KabarDPR #NewsUpdate
#Sandiagauno

https://t.co/q5gAxQFAql","DKI Jakarta, Indonesia"
96,indoposco,"Dasco Sebut Tidak Pernah Dengar Izin Soal Sandiaga Pindah ke PPP

https://t.co/bRqjK4ukPi

#indoposco #Gerindra #PartaiGerindra #PPP #SandiagaUno #SufmiDascoAhmad",DKI Jakarta
97,RADARSOLO_,"Dasco Sebut Belum Pernah Dengar Sandiaga Minta Izin Pindah ke PPP
#ppp #Sandiagauno 
https://t.co/CfZ97Tu9E3","Surakarta, Jawa Tengah"
98,Edymaull,"POLITIK IDENTITAS DIMAINKAN, SANDIAGA UNO BAHAYAKAN NEGARA 
#sandiagakebeletnyapres #sandiagauno #sandiagagakbisakerja #sandiwarauno #bapakpolitikidentitas #politikidentitas #Pilpres2024 https://t.co/oMka94UKUh",
99,jpnncom,"Buka Sentral Oleh-oleh Makassar, Sandiaga Uno Hidupkan Kembali UMKM Sulsel #SandiagaUno https://t.co/wv8HIV9jQr",Indonesia
100,fajaronline,"Sentil Sandi Soal Utang Piutangdi Pilgub DKI Jakarta, Eko Kuntadhi: Bayarnya Pakai Proyek? https://t.co/32kkoLKFDo #AniesBaswedan #EkoKuntadhi #PilgubDkiJakarta #SandiagaUno","Jakarta, Indonesia"
101,sobat_sandi,"Mas Menteri ucapkan terimakasih atas suksesnya acara ATF 🫡👏

#sandiagauno #sandiuno #kemenparekraf #Ekonomi #kreatif #Twitter #FYP #Video #viral2023 #AlwaysWithYou FIRST JOB CURRENT JOB DREAM JOB #mondaythoughts Senin #asean #tourism https://t.co/Y8IrmYUo3O",
102,erniandiny123,"Inikah yang dinamakan surat cinta?
#aniesbaswedan #sandiagauno 
https://t.co/hsX74SOTA0",Tangerang
103,warna_nusa,"Lindungi Anies dan Amankan Tempat untuk AHY, Demokrat Bongkar Niat Sandiaga Uno?

#AniesBaswedan #sandiagauno 
https://t.co/wz8qFVNkmu",Jl. Sumatera 118-120 Jember
104,ketikmedia,"Anies Baswedan Klarifikasi Uang 50 Miliar Sandiaga Uno

Sumber: https://t.co/rK3U5xhcxg | Media Kolaborasi Indonesia.
https://t.co/eO2mT0Ay36

#anies #aniesbaswedan #sandiaga #sandiagauno #kampanye #sumbangan #pinjaman #politik  #beritapolitik #berita #beritaterbaru https://t.co/9NTjPkE52I",
105,kompastvjateng,"Sandiaga Enggan Perpanjang Polemik Utang dengan Anies
#viral #trending #sandiagauno #AniesBaswedan 
https://t.co/F4s34QZShR","Semarang, Central Java"
106,warna_nusa,"Suhu Politik Memanas, Demokrat Buka-bukaan Soal Sandiaga Uno di Pemilu 2019, Benarkah Ingin Tikung Prabowo?

#sandiagauno 
https://t.co/JskHolITog",Jl. Sumatera 118-120 Jember
107,PutraAlamsyahJ1,Ngeriiiii....!!!! #sandiagauno #sandi #Pilpres2024 https://t.co/YgwFItzkVv,
108,Economicreview_,Sandiaga Uno Klaim Wisatawan Asing Ke Indonesia Naik 150 Persen https://t.co/zJxwH4Wg8e #sandiagauno,Jakarta Capital Region
109,palopoleaks,"Sudah Ditinggal Anies Baswedan, Kini Sandiaga Uno Bakal Nyusul, Prabowo Subianto Ditantang di Pilpres 2024 #Pilpres2024 #prabowo #AniesBaswedan #sandiagauno

https://t.co/lWCJk6L5SD",
